"PRODUCT","SUBPRODUCT","STATE"
"Credit reporting","","IN"
"Debt collection","Medical","TX"
"Mortgage","Conventional fixed mortgage","CA"
"Consumer loan","Vehicle loan","NC"
"Credit reporting","","CA"
"Credit reporting","","AL"
"Credit card","","OR"
"Credit reporting","","FL"
"Credit reporting","","CA"
"Mortgage","Conventional fixed mortgage","NY"
"Credit reporting","","CA"
"Mortgage","Conventional fixed mortgage","GA"
"Credit reporting","","PA"
"Credit card","","CA"
"Mortgage","Conventional fixed mortgage","IN"
"Credit reporting","",""
"Credit reporting","","CA"
"Debt collection","Medical","SC"
"Debt collection","Payday loan",""
"Credit reporting","","MD"
"Mortgage","Conventional adjustable mortgage (ARM)","FL"
"Debt collection","Medical","LA"
"Credit reporting","",""
"Debt collection","Other (phone, health club, etc.)","NE"
"Credit card","","MA"
"Payday loan","",""
"Credit reporting","","NV"
"Credit reporting","","VA"
"Mortgage","FHA mortgage","VA"
"Credit reporting","","CA"
"Credit reporting","","CA"
"Mortgage","Conventional fixed mortgage","OH"
"Credit reporting","","NY"
"Mortgage","Other mortgage","PA"
"Mortgage","Conventional fixed mortgage","ID"
"Mortgage","FHA mortgage","LA"
"Credit reporting","","CA"
"Debt collection","Credit card","NY"
"Debt collection","Credit card","NY"
"Mortgage","Other mortgage","VA"
"Consumer loan","Vehicle loan","PA"
"Credit reporting","","IN"
"Mortgage","Conventional adjustable mortgage (ARM)","AR"
"Mortgage","FHA mortgage","AL"
"Mortgage","Conventional fixed mortgage","NC"
"Mortgage","Other mortgage","AZ"
"Mortgage","FHA mortgage","GA"
"Mortgage","Conventional fixed mortgage","VA"
"Debt collection","Other (phone, health club, etc.)","TX"
"Mortgage","Other mortgage","MI"
"Debt collection","Non-federal student loan","OH"
"Credit card","","NC"
"Debt collection","","KY"
"Debt collection","Federal student loan","CA"
"Debt collection","Payday loan","MO"
"Bank account or service","Checking account","MA"
"Money transfers","Domestic (US) money transfer","CA"
"Mortgage","Conventional fixed mortgage","MI"
"Bank account or service","Other bank product/service","AL"
"Bank account or service","Checking account","MD"
"Bank account or service","Other bank product/service","NJ"
"Mortgage","Conventional fixed mortgage","CT"
"Bank account or service","Checking account","NY"
"Mortgage","Conventional fixed mortgage","PA"
"Consumer loan","Vehicle lease","NY"
"Credit reporting","","FL"
"Credit reporting","","VA"
"Bank account or service","Other bank product/service","NV"
"Credit card","","HI"
"Debt collection","Federal student loan","PA"
"Debt collection","Other (phone, health club, etc.)","HI"
"Credit reporting","","WA"
"Payday loan","","CA"
"Credit reporting","","FL"
"Debt collection","Other (phone, health club, etc.)","GA"
"Student loan","Non-federal student loan","OH"
"Money transfers","Domestic (US) money transfer","OH"
"Debt collection","Other (phone, health club, etc.)","FL"
"Debt collection","Other (phone, health club, etc.)","HI"
"Mortgage","Conventional fixed mortgage","FL"
"Mortgage","VA mortgage","VA"
"Debt collection","Other (phone, health club, etc.)","TX"
"Debt collection","Other (phone, health club, etc.)","TX"
"Bank account or service","Checking account","NC"
"Debt collection","Mortgage","ID"
"Bank account or service","Checking account","CA"
"Debt collection","Credit card","NC"
"Debt collection","Other (phone, health club, etc.)","CA"
"Mortgage","Other mortgage","NJ"
"Debt collection","Non-federal student loan","OH"
"Debt collection","Other (phone, health club, etc.)","DC"
"Mortgage","Home equity loan or line of credit","PA"
"Credit card","","MA"
"Mortgage","Conventional adjustable mortgage (ARM)","WV"
"Credit card","","NV"
"Credit reporting","","MD"
"Credit reporting","","FL"
"Credit card","","TX"
"Credit reporting","","FL"
"Credit card","","IN"
"Bank account or service","Checking account","OH"
"Consumer loan","Installment loan","CA"
"Mortgage","Conventional fixed mortgage","CA"
"Debt collection","Credit card","CA"
"Mortgage","Conventional fixed mortgage","NY"
"Consumer loan","Vehicle loan","CA"
"Debt collection","Other (phone, health club, etc.)","CA"
"Debt collection","Medical","CA"
"Debt collection","","PA"
"Mortgage","Conventional fixed mortgage","GA"
"Bank account or service","Checking account","HI"
"Mortgage","Other mortgage","WV"
"Bank account or service","Checking account","NJ"
"Credit reporting","","IN"
"Mortgage","Other mortgage","NY"
"Bank account or service","Checking account","DE"
"Debt collection","Credit card","CA"
"Mortgage","Other mortgage","MI"
"Mortgage","FHA mortgage","NC"
"Consumer loan","Installment loan","GA"
"Debt collection","","CA"
"Mortgage","Conventional adjustable mortgage (ARM)","SC"
"Debt collection","Other (phone, health club, etc.)","WI"
"Student loan","Non-federal student loan","LA"
"Credit reporting","","IL"
"Mortgage","FHA mortgage","MN"
"Consumer loan","Installment loan","GA"
"Debt collection","Other (phone, health club, etc.)","TX"
"Mortgage","Conventional fixed mortgage","FL"
"Debt collection","Credit card","NJ"
"Payday loan","","IL"
"Mortgage","Other mortgage","NC"
"Mortgage","Conventional fixed mortgage","MO"
"Bank account or service","Checking account","CA"
"Credit reporting","","CA"
"Debt collection","Medical","IA"
"Student loan","Non-federal student loan","TX"
"Mortgage","Conventional fixed mortgage","MA"
"Credit card","","GA"
"Mortgage","Conventional fixed mortgage","NY"
"Debt collection","Other (phone, health club, etc.)","TX"
"Debt collection","","NM"
"Debt collection","","IA"
"Consumer loan","Installment loan","GA"
"Bank account or service","Checking account","UT"
"Payday loan","","GA"
"Bank account or service","Checking account","IL"
"Mortgage","Conventional fixed mortgage","NJ"
"Mortgage","FHA mortgage","FL"
"Mortgage","Conventional adjustable mortgage (ARM)","TX"
"Credit reporting","","WI"
"Mortgage","FHA mortgage","NJ"
"Consumer loan","Installment loan","TX"
"Credit card","","WA"
"Consumer loan","Personal line of credit","CA"
"Credit reporting","","ME"
"Debt collection","Payday loan","SD"
"Bank account or service","Other bank product/service","NE"
"Debt collection","Other (phone, health club, etc.)","NJ"
"Debt collection","Other (phone, health club, etc.)","CA"
"Debt collection","Medical","LA"
"Credit card","","CA"
"Debt collection","","CT"
"Mortgage","Conventional fixed mortgage","WA"
"Mortgage","FHA mortgage","NV"
"Credit reporting","","CA"
"Debt collection","Other (phone, health club, etc.)","PA"
"Credit reporting","","TX"
"Credit reporting","","MI"
"Bank account or service","Checking account","FL"
"Bank account or service","Other bank product/service","NH"
"Credit reporting","","OH"
"Credit reporting","","NY"
"Mortgage","FHA mortgage","OK"
"Student loan","Non-federal student loan","MI"
"Credit card","","NC"
"Mortgage","Other mortgage","IL"
"Debt collection","","NJ"
"Mortgage","Conventional fixed mortgage","VA"
"Debt collection","","VA"
"Credit reporting","","CA"
"Bank account or service","Other bank product/service","RI"
"Mortgage","FHA mortgage","IL"
"Debt collection","Other (phone, health club, etc.)","AR"
"Consumer loan","Vehicle loan","CO"
"Credit card","","DC"
"Debt collection","Medical","CA"
"Mortgage","Conventional adjustable mortgage (ARM)","NY"
"Consumer loan","Vehicle loan","CA"
"Debt collection","Other (phone, health club, etc.)","SC"
"Bank account or service","Checking account","NJ"
"Credit card","","CA"
"Mortgage","Conventional fixed mortgage","MD"
"Debt collection","","DE"
"Debt collection","Payday loan","VA"
"Student loan","Non-federal student loan","NC"
"Mortgage","Conventional fixed mortgage","CA"
"Mortgage","FHA mortgage","CA"
"Credit reporting","","TX"
"Mortgage","Other mortgage","NC"
"Mortgage","Other mortgage","GA"
"Student loan","Non-federal student loan","TX"
"Mortgage","Conventional adjustable mortgage (ARM)","FL"
"Bank account or service","Checking account","NJ"
"Mortgage","Other mortgage","CA"
"Mortgage","Other mortgage","CA"
"Mortgage","Conventional adjustable mortgage (ARM)","IN"
"Mortgage","Conventional fixed mortgage","DC"
"Credit reporting","","OH"
"Credit reporting","","GA"
"Debt collection","","VA"
"Credit reporting","","GA"
"Credit card","","FL"
"Credit card","","OH"
"Credit card","","AR"
"Payday loan","","GA"
"Debt collection","","TX"
"Bank account or service","Checking account","IL"
"Bank account or service","Checking account","NY"
"Credit reporting","","CA"
"Debt collection","Credit card","TX"
"Mortgage","Conventional fixed mortgage","AR"
"Credit reporting","","CA"
"Credit card","","NY"
"Credit card","","NJ"
"Credit card","","WI"
"Mortgage","Conventional fixed mortgage","CA"
"Consumer loan","Installment loan","NJ"
"Credit card","","IA"
"Credit card","","IL"
"Credit card","","OK"
"Student loan","Non-federal student loan","VA"
"Debt collection","","TX"
"Mortgage","FHA mortgage","GA"
"Bank account or service","Checking account","WA"
"Mortgage","Conventional fixed mortgage","NY"
"Mortgage","Conventional fixed mortgage","VA"
"Mortgage","Conventional fixed mortgage","CT"
"Credit reporting","","MI"
"Credit card","","MI"
"Debt collection","Other (phone, health club, etc.)","PA"
"Mortgage","Conventional fixed mortgage","NC"
"Mortgage","Home equity loan or line of credit","CA"
"Student loan","Non-federal student loan","NE"
"Debt collection","Credit card","PA"
"Mortgage","Conventional fixed mortgage","WA"
"Credit reporting","","CA"
"Mortgage","Other mortgage","CA"
"Mortgage","Other mortgage","MD"
"Mortgage","FHA mortgage","GA"
"Debt collection","Other (phone, health club, etc.)","MA"
"Mortgage","Other mortgage","CA"
"Debt collection","Other (phone, health club, etc.)","MN"
"Debt collection","Credit card","TN"
"Mortgage","Conventional fixed mortgage","TX"
"Credit reporting","","VA"
"Money transfers","International money transfer","GA"
"Credit reporting","","MA"
"Mortgage","Conventional adjustable mortgage (ARM)","NC"
"Payday loan","","MN"
"Mortgage","Conventional fixed mortgage","FL"
"Credit reporting","","MO"
"Debt collection","Other (phone, health club, etc.)","TX"
"Mortgage","Conventional fixed mortgage","NY"
"Mortgage","Other mortgage","MA"
"Credit reporting","","VA"
"Credit reporting","","VA"
"Mortgage","Conventional fixed mortgage","NJ"
"Debt collection","Credit card","AL"
"Mortgage","Conventional fixed mortgage","MD"
"Credit card","","CO"
"Debt collection","Medical","VA"
"Mortgage","Conventional fixed mortgage","FL"
"Debt collection","Other (phone, health club, etc.)","FL"
"Mortgage","Conventional fixed mortgage","OH"
"Credit card","","SC"
"Mortgage","Other mortgage","NY"
"Debt collection","Non-federal student loan","OH"
"Credit reporting","","CA"
"Credit reporting","","TX"
"Debt collection","Credit card","SC"
"Debt collection","Other (phone, health club, etc.)","VA"
"Consumer loan","Personal line of credit","CA"
"Mortgage","Conventional adjustable mortgage (ARM)","CA"
"Credit reporting","","TX"
"Credit reporting","","NJ"
"Consumer loan","Vehicle loan","VA"
"Credit reporting","","NC"
"Debt collection","Payday loan","TX"
"Mortgage","VA mortgage","OH"
"Credit card","","MD"
"Credit reporting","","IL"
"Credit reporting","","IL"
"Credit reporting","","IL"
"Credit card","","VA"
"Credit card","","MD"
"Mortgage","Conventional fixed mortgage","FL"
"Credit reporting","","CA"
"Mortgage","Other mortgage","CA"
"Credit card","","OH"
"Credit reporting","","NY"
"Mortgage","Other mortgage","IL"
"Mortgage","Other mortgage","NE"
"Bank account or service","Checking account","DC"
"Credit card","","VA"
"Mortgage","Other mortgage","CA"
"Mortgage","Other mortgage","CA"
"Mortgage","Home equity loan or line of credit","OR"
"Mortgage","Other mortgage","SC"
"Credit card","","TX"
"Mortgage","Other mortgage","VA"
"Credit card","","FL"
"Mortgage","Other mortgage","CA"
"Bank account or service","(CD) Certificate of deposit","VA"
"Consumer loan","Installment loan","AR"
"Mortgage","Other mortgage","FL"
"Mortgage","Other mortgage","CA"
"Mortgage","Other mortgage","CA"
"Mortgage","FHA mortgage","NJ"
"Mortgage","FHA mortgage","IL"
"Payday loan","","PA"
"Debt collection","Medical","NJ"
"Debt collection","Medical","FL"
"Student loan","Non-federal student loan","AZ"
"Consumer loan","Personal line of credit","DE"
"Debt collection","Credit card","TX"
"Credit reporting","","CA"
"Debt collection","Other (phone, health club, etc.)","TN"
"Credit reporting","","CA"
"Bank account or service","Checking account","NY"
"Credit card","","NY"
"Consumer loan","Vehicle loan","CT"
"Debt collection","Other (phone, health club, etc.)","NJ"
"Mortgage","Conventional fixed mortgage","GA"
"Bank account or service","Checking account","CA"
"Credit reporting","","CA"
"Credit reporting","","TX"
"Bank account or service","Checking account","FL"
"Credit reporting","","MI"
"Mortgage","Conventional adjustable mortgage (ARM)","CA"
"Bank account or service","Other bank product/service","CA"
"Credit reporting","","DE"
"Consumer loan","Vehicle lease","CA"
"Debt collection","Other (phone, health club, etc.)","NY"
"Debt collection","Medical","FL"
"Credit reporting","","CA"
"Debt collection","","NY"
"Mortgage","Other mortgage","FL"
"Credit reporting","","CA"
"Bank account or service","Checking account","WA"
"Mortgage","FHA mortgage","CA"
"Credit reporting","","IL"
"Mortgage","Conventional fixed mortgage","MD"
"Credit reporting","","PA"
"Mortgage","Conventional fixed mortgage","NY"
"Consumer loan","Installment loan","NC"
"Mortgage","Other mortgage","KY"
"Bank account or service","Checking account","FL"
"Debt collection","Other (phone, health club, etc.)","NV"
"Debt collection","Medical","FL"
"Debt collection","Auto","NM"
"Debt collection","Auto","NM"
"Debt collection","Medical","GA"
"Credit reporting","","NY"
"Mortgage","Home equity loan or line of credit","MS"
"Student loan","Non-federal student loan","WI"
"Debt collection","Other (phone, health club, etc.)","PA"
"Credit card","","WV"
"Mortgage","Reverse mortgage","WA"
"Mortgage","Conventional fixed mortgage","NC"
"Mortgage","Conventional fixed mortgage","CA"
"Credit card","","TX"
"Bank account or service","Other bank product/service","SC"
"Mortgage","Conventional fixed mortgage","NH"
"Consumer loan","Installment loan","FL"
"Debt collection","Credit card","CA"
"Mortgage","Conventional fixed mortgage","MI"
"Mortgage","Conventional adjustable mortgage (ARM)","NY"
"Debt collection","Payday loan","CA"
"Mortgage","Conventional fixed mortgage","MD"
"Credit card","","NY"
"Debt collection","Other (phone, health club, etc.)","FL"
"Mortgage","FHA mortgage","NJ"
"Consumer loan","Installment loan","CA"
"Debt collection","Mortgage","TX"
"Mortgage","Other mortgage","CA"
"Mortgage","Conventional fixed mortgage","MD"
"Mortgage","FHA mortgage","MD"
"Mortgage","Conventional adjustable mortgage (ARM)","FL"
"Credit reporting","","LA"
"Bank account or service","Checking account","AR"
"Credit card","","NY"
"Student loan","Non-federal student loan","NJ"
"Mortgage","Conventional fixed mortgage","CA"
"Debt collection","Other (phone, health club, etc.)","FL"
"Mortgage","Other mortgage","GA"
"Debt collection","Other (phone, health club, etc.)","TN"
"Credit card","","MA"
"Debt collection","Other (phone, health club, etc.)","FL"
"Mortgage","Other mortgage","IL"
"Credit reporting","","MD"
"Consumer loan","Vehicle loan","AL"
"Mortgage","Other mortgage","GA"
"Debt collection","Credit card","TX"
"Mortgage","Other mortgage","MD"
"Mortgage","Conventional adjustable mortgage (ARM)","DE"
"Mortgage","Conventional fixed mortgage","NC"
"Payday loan","","CA"
"Debt collection","Other (phone, health club, etc.)","KY"
"Credit reporting","","ND"
"Credit reporting","","FL"
"Consumer loan","Vehicle loan","TX"
"Mortgage","FHA mortgage","IL"
"Bank account or service","(CD) Certificate of deposit","CA"
"Debt collection","","CA"
"Mortgage","Conventional adjustable mortgage (ARM)","CA"
"Mortgage","Conventional fixed mortgage","NY"
"Credit reporting","","FL"
"Bank account or service","Checking account","WA"
"Debt collection","","IA"
"Debt collection","Credit card","AZ"
"Mortgage","Other mortgage","OH"
"Credit card","","PA"
"Debt collection","Medical","OR"
"Credit reporting","","NY"
"Mortgage","Other mortgage","NY"
"Mortgage","Other mortgage","NY"
"Debt collection","Payday loan","MI"
"Credit reporting","","FL"
"Debt collection","","OH"
"Bank account or service","Checking account","MN"
"Credit reporting","","FL"
"Credit card","","NY"
"Credit reporting","","FL"
"Bank account or service","Other bank product/service","CA"
"Credit reporting","","FL"
"Credit reporting","","FL"
"Credit reporting","","FL"
"Debt collection","Credit card","VA"
"Debt collection","Medical","NJ"
"Debt collection","Other (phone, health club, etc.)","MA"
"Consumer loan","Vehicle loan","IN"
"Credit card","","MO"
"Credit reporting","","VA"
"Debt collection","","CA"
"Bank account or service","Other bank product/service","OH"
"Debt collection","Medical","OH"
"Debt collection","Medical","MD"
"Credit card","","AZ"
"Debt collection","","MI"
"Credit reporting","","CA"
"Debt collection","","WI"
"Credit reporting","","IN"
"Bank account or service","Checking account","MI"
"Debt collection","Other (phone, health club, etc.)","FL"
"Mortgage","FHA mortgage","VA"
"Credit reporting","","AL"
"Debt collection","","VA"
"Mortgage","Conventional fixed mortgage","NY"
"Debt collection","Auto","CO"
"Bank account or service","Other bank product/service",""
"Bank account or service","(CD) Certificate of deposit","CA"
"Credit reporting","","CA"
"Debt collection","","TN"
"Student loan","Non-federal student loan","OH"
"Credit reporting","","CA"
"Mortgage","Conventional fixed mortgage","AZ"
"Credit reporting","","PA"
"Credit card","","NC"
"Consumer loan","Installment loan","FL"
"Credit card","","KY"
"Credit card","","NJ"
"Debt collection","","CA"
"Student loan","Non-federal student loan","VA"
"Mortgage","Conventional fixed mortgage","FL"
"Bank account or service","Checking account","OH"
"Mortgage","Other mortgage","CA"
"Debt collection","Medical","IL"
"Mortgage","Conventional fixed mortgage","FL"
"Mortgage","Home equity loan or line of credit","PA"
"Credit card","","AR"
"Bank account or service","Checking account","NC"
"Debt collection","Payday loan","TX"
"Bank account or service","Other bank product/service","ME"
"Debt collection","Payday loan","AL"
"Student loan","Non-federal student loan","MI"
"Bank account or service","Checking account","NY"
"Credit reporting","","CO"
"Debt collection","Credit card","TX"
"Bank account or service","Checking account","MO"
"Debt collection","Other (phone, health club, etc.)","GA"
"Debt collection","Medical","NE"
"Debt collection","","GA"
"Mortgage","Conventional fixed mortgage","WI"
"Credit reporting","","VA"
"Credit reporting","","SC"
"Mortgage","Conventional fixed mortgage","AZ"
"Credit card","","MD"
"Debt collection","","NJ"
"Credit card","","FL"
"Bank account or service","Other bank product/service","NJ"
"Credit reporting","","VA"
"Mortgage","Conventional fixed mortgage","TX"
"Credit reporting","","WA"
"Bank account or service","Checking account","TX"
"Mortgage","Conventional fixed mortgage","NY"
"Consumer loan","Installment loan","CA"
"Bank account or service","Checking account","CA"
"Credit card","","PA"
"Credit reporting","","VA"
"Credit reporting","","FL"
"Bank account or service","Checking account","NY"
"Credit reporting","","VA"
"Credit reporting","","VA"
"Student loan","Non-federal student loan","WI"
"Credit reporting","","VA"
"Credit reporting","","FL"
"Debt collection","Other (phone, health club, etc.)","NV"
"Bank account or service","Other bank product/service","VA"
"Credit reporting","","VA"
"Bank account or service","Checking account","MN"
"Consumer loan","Installment loan","VA"
"Credit card","","NY"
"Debt collection","Other (phone, health club, etc.)","CA"
"Bank account or service","Checking account","PA"
"Credit card","","CA"
"Mortgage","Home equity loan or line of credit","CA"
"Credit card","","VA"
"Mortgage","Other mortgage","CA"
"Bank account or service","Other bank product/service",""
"Debt collection","Credit card","NJ"
"Mortgage","Other mortgage","TX"
"Bank account or service","Checking account","AZ"
"Consumer loan","Vehicle loan","FL"
"Consumer loan","Installment loan","IL"
"Credit reporting","","CA"
"Credit reporting","","CA"
"Consumer loan","Vehicle loan","FL"
"Student loan","Non-federal student loan","GA"
"Bank account or service","Checking account","NC"
"Debt collection","","AR"
"Credit reporting","","TX"
"Mortgage","FHA mortgage","GA"
"Debt collection","Other (phone, health club, etc.)","NY"
"Mortgage","Conventional fixed mortgage","IN"
"Mortgage","Conventional fixed mortgage","FL"
"Credit reporting","","AL"
"Credit reporting","","TN"
"Credit card","","TX"
"Credit reporting","","UT"
"Credit reporting","","CA"
"Consumer loan","Vehicle lease","CA"
"Mortgage","Conventional fixed mortgage","SC"
"Credit reporting","","NY"
"Mortgage","Other mortgage","FL"
"Student loan","Non-federal student loan","TX"
"Credit reporting","","VA"
"Mortgage","FHA mortgage","FL"
"Credit reporting","","CO"
"Bank account or service","Checking account","NY"
"Credit reporting","","CO"
"Debt collection","","FL"
"Credit reporting","",""
"Debt collection","Federal student loan","TX"
"Mortgage","Conventional fixed mortgage","IL"
"Mortgage","FHA mortgage","TX"
"Debt collection","Other (phone, health club, etc.)","LA"
"Debt collection","Medical","MD"
"Debt collection","Credit card","FL"
"Debt collection","Medical","AR"
"Consumer loan","Vehicle loan","TX"
"Debt collection","","PA"
"Mortgage","Conventional fixed mortgage","NY"
"Bank account or service","Checking account","IL"
"Mortgage","FHA mortgage","TX"
"Mortgage","Conventional adjustable mortgage (ARM)","CA"
"Bank account or service","Checking account","TX"
"Bank account or service","Checking account","IL"
"Credit card","","VA"
"Bank account or service","Other bank product/service","NY"
"Money transfers","International money transfer","MD"
"Credit reporting","","FL"
"Debt collection","Credit card","NY"
"Money transfers","Domestic (US) money transfer","VI"
"Mortgage","Conventional fixed mortgage","VT"
"Debt collection","","GA"
"Debt collection","Non-federal student loan","NV"
"Student loan","Non-federal student loan","OH"
"Bank account or service","Checking account","AZ"
"Student loan","Non-federal student loan","IL"
"Bank account or service","Checking account","CA"
"Debt collection","Credit card","CA"
"Student loan","Non-federal student loan","NJ"
"Debt collection","Other (phone, health club, etc.)","OK"
"Debt collection","Medical","FL"
"Debt collection","Other (phone, health club, etc.)","IA"
"Mortgage","Other mortgage","GA"
"Bank account or service","Checking account","WA"
"Mortgage","Other mortgage","CA"
"Bank account or service","Savings account","MD"
"Debt collection","Other (phone, health club, etc.)","IA"
"Debt collection","","VA"
"Credit reporting","",""
"Credit reporting","",""
"Credit card","","MO"
"Debt collection","","GA"
"Debt collection","Other (phone, health club, etc.)","CA"
"Bank account or service","Checking account","NY"
"Debt collection","Other (phone, health club, etc.)","NJ"
"Credit card","","CA"
"Bank account or service","Checking account","PA"
"Credit card","","AZ"
"Mortgage","Other mortgage","SC"
"Debt collection","","OH"
"Mortgage","Other mortgage","FL"
"Mortgage","Conventional fixed mortgage","MD"
"Consumer loan","Installment loan","MI"
"Mortgage","Conventional adjustable mortgage (ARM)","NY"
"Consumer loan","Vehicle loan","TN"
"Mortgage","Other mortgage","NJ"
"Debt collection","Medical","PA"
"Mortgage","Conventional fixed mortgage","OH"
"Bank account or service","Checking account","IL"
"Credit card","","UT"
"Mortgage","Other mortgage","MN"
"Mortgage","Other mortgage","NY"
"Mortgage","Conventional fixed mortgage","KS"
"Bank account or service","Savings account","GA"
"Mortgage","Conventional adjustable mortgage (ARM)","OR"
"Consumer loan","Installment loan","CA"
"Consumer loan","Installment loan","CA"
"Bank account or service","Checking account","MI"
"Bank account or service","Checking account","CO"
"Bank account or service","Checking account","IL"
"Mortgage","Home equity loan or line of credit","WI"
"Mortgage","Other mortgage","CA"
"Mortgage","Other mortgage","MD"
"Bank account or service","(CD) Certificate of deposit","MD"
"Credit reporting","","CA"
"Credit reporting","","NC"
"Mortgage","VA mortgage","GA"
"Bank account or service","Checking account","OK"
"Mortgage","Other mortgage","DC"
"Bank account or service","Checking account","MD"
"Mortgage","Other mortgage","DC"
"Consumer loan","Vehicle loan","MD"
"Credit reporting","","NC"
"Mortgage","FHA mortgage","FL"
"Mortgage","Conventional fixed mortgage","IL"
"Mortgage","Conventional fixed mortgage","TX"
"Mortgage","Home equity loan or line of credit","MD"
"Debt collection","Other (phone, health club, etc.)","CA"
"Consumer loan","Vehicle loan","NV"
"Mortgage","Conventional fixed mortgage","AZ"
"Debt collection","","AZ"
"Credit reporting","",""
"Payday loan","","TN"
"Mortgage","Conventional fixed mortgage","SC"
"Debt collection","","CA"
"Credit reporting","","CA"
"Debt collection","Other (phone, health club, etc.)","FL"
"Credit reporting","","NY"
"Credit card","","FL"
"Debt collection","Medical","DE"
"Mortgage","Other mortgage","NY"
"Debt collection","Other (phone, health club, etc.)","FL"
"Credit reporting","","TN"
"Consumer loan","Vehicle loan","NC"
"Mortgage","FHA mortgage","NJ"
"Mortgage","Conventional fixed mortgage","CA"
"Student loan","Non-federal student loan","IL"
"Debt collection","Credit card","GA"
"Debt collection","","OH"
"Consumer loan","Vehicle loan","NY"
"Mortgage","Conventional fixed mortgage","CA"
"Credit reporting","","NJ"
"Bank account or service","Checking account","NJ"
"Credit card","","FL"
"Mortgage","Other mortgage","IN"
"Credit card","","UT"
"Consumer loan","Personal line of credit","NY"
"Debt collection","Medical","CA"
"Credit reporting","","NJ"
"Debt collection","Auto","CA"
"Debt collection","Auto","CA"
"Mortgage","Conventional fixed mortgage","DE"
"Credit reporting","","ME"
"Credit reporting","","AK"
"Bank account or service","Checking account","CA"
"Credit reporting","","IL"
"Debt collection","","CA"
"Bank account or service","Other bank product/service","WA"
"Credit reporting","","TX"
"Student loan","Non-federal student loan","OH"
"Credit reporting","","NV"
"Credit card","","VA"
"Credit reporting","","KY"
"Debt collection","Other (phone, health club, etc.)","KY"
"Credit reporting","","KY"
"Debt collection","Other (phone, health club, etc.)","KY"
"Credit card","","NV"
"Debt collection","","WY"
"Money transfers","International money transfer","VA"
"Mortgage","Home equity loan or line of credit","NY"
"Debt collection","Other (phone, health club, etc.)","SC"
"Credit reporting","","NV"
"Bank account or service","Other bank product/service","NY"
"Credit reporting","","NV"
"Debt collection","","CA"
"Debt collection","Credit card","SD"
"Mortgage","Home equity loan or line of credit","CO"
"Mortgage","Home equity loan or line of credit","CT"
"Student loan","Non-federal student loan","NC"
"Credit reporting","","OH"
"Debt collection","Other (phone, health club, etc.)","KY"
"Mortgage","Conventional fixed mortgage","CT"
"Student loan","Non-federal student loan","MD"
"Debt collection","Medical","TN"
"Debt collection","Other (phone, health club, etc.)","ID"
"Credit reporting","","TX"
"Credit card","","NH"
"Mortgage","Conventional fixed mortgage","NM"
"Mortgage","Other mortgage","IL"
"Mortgage","Conventional fixed mortgage","MD"
"Credit reporting","","IN"
"Bank account or service","Checking account","NY"
"Credit reporting","","FL"
"Mortgage","Conventional fixed mortgage","NJ"
"Mortgage","Conventional adjustable mortgage (ARM)","VA"
"Bank account or service","Other bank product/service","MA"
"Student loan","Non-federal student loan","NJ"
"Payday loan","","PA"
"Mortgage","Conventional fixed mortgage","CA"
"Mortgage","Conventional fixed mortgage","AZ"
"Student loan","Non-federal student loan","WV"
"Debt collection","Other (phone, health club, etc.)","TX"
"Debt collection","Other (phone, health club, etc.)","OK"
"Debt collection","Medical","TX"
"Mortgage","Conventional adjustable mortgage (ARM)","VA"
"Credit card","","VA"
"Debt collection","Other (phone, health club, etc.)","FL"
"Mortgage","Conventional adjustable mortgage (ARM)","NY"
"Mortgage","Conventional fixed mortgage","MO"
"Credit card","","IL"
"Mortgage","Conventional fixed mortgage","MI"
"Bank account or service","Checking account","FL"
"Payday loan","","IA"
"Credit reporting","","AZ"
"Credit card","","TN"
"Mortgage","Conventional fixed mortgage","CA"
"Mortgage","FHA mortgage","TX"
"Debt collection","Payday loan","CA"
"Debt collection","Payday loan","CA"
"Mortgage","Conventional fixed mortgage","MD"
"Consumer loan","Vehicle loan","TX"
"Mortgage","Other mortgage","SC"
"Bank account or service","Checking account","OH"
"Mortgage","Conventional fixed mortgage","OH"
"Student loan","Non-federal student loan","RI"
"Debt collection","Medical","AL"
"Credit card","","WA"
"Credit card","","PA"
"Bank account or service","Checking account","IL"
"Debt collection","Credit card","TX"
"Credit card","","OR"
"Credit reporting","","MI"
"Mortgage","Other mortgage","NY"
"Credit card","","OH"
"Credit reporting","","IL"
"Debt collection","Other (phone, health club, etc.)","OH"
"Credit card","","OH"
"Mortgage","Conventional fixed mortgage","MA"
"Credit card","","OH"
"Credit reporting","","MA"
"Debt collection","","TX"
"Credit reporting","","NY"
"Debt collection","Credit card","IN"
"Debt collection","Medical","SC"
"Mortgage","Conventional fixed mortgage","CT"
"Debt collection","","WV"
"Mortgage","FHA mortgage","SC"
"Debt collection","","NY"
"Credit card","","NY"
"Mortgage","Conventional fixed mortgage","CA"
"Credit reporting","","CA"
"Debt collection","","CA"
"Debt collection","","CA"
"Debt collection","Other (phone, health club, etc.)","FL"
"Debt collection","Credit card","MD"
"Debt collection","Credit card","MO"
"Debt collection","Mortgage","NJ"
"Credit reporting","","VA"
"Debt collection","Credit card","AR"
"Debt collection","Credit card","IN"
"Debt collection","Other (phone, health club, etc.)","NY"
"Debt collection","Credit card","AR"
"Credit card","","NJ"
"Debt collection","Credit card","AR"
"Debt collection","","TX"
"Debt collection","","TX"
"Credit reporting","","CA"
